occ_code,title,observed_exposure,indonesia_usage_pct,n_tasks,quad
27-1012,Craft Artists,0.0539,0.1164725457570715,1,low_low
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.3565,0.1774819744869661,1,high_low
27-1014,Special Effects Artists and Animators,0.3571,0.4991680532445923,2,high_high
27-1021,Commercial and Industrial Designers,0.0437,0.0,0,low_low
27-1022,Fashion Designers,0.0568,0.0,0,low_low
27-1024,Graphic Designers,0.3672,0.088740987243483,1,high_low
27-2011,Actors,0.1011,0.5546311702717693,1,low_high
27-2012,Producers and Directors,0.092,0.0,0,low_low
27-2032,Choreographers,0.0801,0.0,0,low_low
27-2041,Music Directors and Composers,0.0368,0.0,0,low_low
27-3011,Broadcast Announcers and Radio Disc Jockeys,0.0634,0.0,0,low_low
27-3023,"News Analysts, Reporters, and Journalists",0.2098,0.0,0,high_low
27-3031,Public Relations Specialists,0.453,0.0,0,high_low
27-3041,Editors,0.246,0.6932889628397115,2,high_high
27-3042,Technical Writers,0.4747,4.203875839370772,3,high_high
27-3043,Writers and Authors,0.2462,1.1092623405435384,4,high_high
27-3091,Interpreters and Translators,0.4304,0.2773155851358846,1,high_high
27-3092,Court Reporters and Simultaneous Captioners,0.3431,0.0,0,high_low
27-4011,Audio and Video Technicians,0.0173,0.0,0,low_low
27-4012,Broadcast Technicians,0.0197,0.0,0,low_low
27-4021,Photographers,0.195,0.0,0,high_low
27-4031,"Camera Operators, Television, Video, and Film",0.1651,0.0,0,high_low
27-4032,Film and Video Editors,0.2234,0.0,0,high_low
29-1021,"Dentists, General",0.0309,0.0,0,low_low
29-1031,Dietitians and Nutritionists,0.1328,0.21630615640598988,2,high_high
29-1051,Pharmacists,0.0896,0.0831946755407653,1,low_low
29-1122,Occupational Therapists,0.008,0.0,0,low_low
29-1123,Physical Therapists,0.0174,0.0,0,low_low
29-1129,"Therapists, All Other",0.0402,0.0,0,low_low
29-1131,Veterinarians,0.0926,0.0,0,low_low
29-1141,Registered Nurses,0.0595,0.0,0,low_low
29-1161,Nurse Midwives,0.052,0.0,0,low_low
29-1171,Nurse Practitioners,0.0944,0.0,0,low_low
29-1216,General Internal Medicine Physicians,0.084,0.0,0,low_low
29-1218,Obstetricians and Gynecologists,0.0685,0.0,0,low_low
29-1222,"Physicians, Pathologists",0.1577,0.0,0,high_low
29-1224,Radiologists,0.199,0.0,0,high_low
29-1229,"Physicians, All Other",0.0297,0.0,0,low_low
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",0.0222,0.0,0,low_low
29-2033,Nuclear Medicine Technologists,0.0513,0.0,0,low_low
29-2035,Magnetic Resonance Imaging Technologists,0.039,0.0,0,low_low
29-2051,Dietetic Technicians,0.2446,0.0,0,high_low
29-2052,Pharmacy Technicians,0.0735,0.0,0,low_low
29-2072,Medical Records Specialists,0.6674,0.0,0,high_low
29-2099,"Health Technologists and Technicians, All Other",0.0445,0.0,0,low_low
29-9021,Health Information Technologists and Medical Registrars,0.3063,0.0,0,high_low
29-9091,Athletic Trainers,0.0531,0.0,0,low_low
29-9092,Genetic Counselors,0.0123,0.0,0,low_low
31-2012,Occupational Therapy Aides,0.0661,0.0,0,low_low
31-9092,Medical Assistants,0.0476,0.0,0,low_low
31-9094,Medical Transcriptionists,0.6365,0.0,0,high_low
31-9095,Pharmacy Aides,0.022,0.0,0,low_low
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.0179,0.0,0,low_low
33-1011,First-Line Supervisors of Correctional Officers,0.0315,0.0,0,low_low
33-3021,Detectives and Criminal Investigators,0.0374,0.0,0,low_low
33-3051,Police and Sheriff's Patrol Officers,0.1234,0.0,0,high_low
33-9099,"Protective Service Workers, All Other",0.0571,0.0,0,low_low
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.0564,0.0,0,low_low
35-2014,"Cooks, Restaurant",0.0116,0.0,0,low_low
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.0734,0.0998336106489184,1,low_low
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.0436,0.0,0,low_low
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.1083,0.0,0,low_low
37-2021,Pest Control Workers,0.046,0.0,0,low_low
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.0443,0.0,0,low_low
39-1022,First-Line Supervisors of Personal Service Workers,0.0407,0.0,0,low_low
39-3091,Amusement and Recreation Attendants,0.0619,0.0,0,low_low
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",0.0304,0.0,0,low_low
39-6011,Baggage Porters and Bellhops,0.073,0.0,0,low_low
39-6012,Concierges,0.1875,0.0,0,high_low
