occ_code,title,observed_exposure,SOCcode,JobName,JobFamily,isBright,isGreen,JobZone,MedianSalary,JobForecast,ChanceAuto,WageGroup,major_group_code
47-2011,Boilermakers,0.0,47-2011.00,Boilermakers,Construction and Extraction,False,True,3.0,62150.0,1600.0,68.0,,47-0000
47-2021,Brickmasons and Blockmasons,0.0,47-2021.00,Brickmasons and Blockmasons,Construction and Extraction,True,False,2.0,50950.0,10000.0,82.0,,47-0000
47-2022,Stonemasons,0.0,47-2022.00,Stonemasons,Construction and Extraction,True,False,3.0,41220.0,1900.0,89.0,,47-0000
47-2031,Carpenters,0.0,47-2031.00,Carpenters,Construction and Extraction,True,False,-1.0,46590.0,116300.0,72.0,,47-0000
47-2031,Carpenters,0.0,47-2031.01,Construction Carpenters,Construction and Extraction,True,True,2.0,46590.0,116300.0,-1.0,Carpenters,47-0000
47-2031,Carpenters,0.0,47-2031.02,Rough Carpenters,Construction and Extraction,True,True,2.0,46590.0,116300.0,-1.0,Carpenters,47-0000
47-2041,Carpet Installers,0.0,47-2041.00,Carpet Installers,Construction and Extraction,False,False,2.0,39340.0,3500.0,87.0,,47-0000
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.0,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Construction and Extraction,True,False,2.0,42760.0,2500.0,79.0,,47-0000
47-2043,Floor Sanders and Finishers,0.0,47-2043.00,Floor Sanders and Finishers,Construction and Extraction,True,False,2.0,37510.0,700.0,87.0,,47-0000
47-2044,Tile and Stone Setters,0.0,47-2044.00,Tile and Marble Setters,Construction and Extraction,True,False,2.0,41840.0,6900.0,75.0,,47-0000
47-2051,Cement Masons and Concrete Finishers,0.0,47-2051.00,Cement Masons and Concrete Finishers,Construction and Extraction,True,True,1.0,43000.0,23300.0,94.0,,47-0000
47-2053,Terrazzo Workers and Finishers,0.0,47-2053.00,Terrazzo Workers and Finishers,Construction and Extraction,True,False,2.0,42500.0,400.0,88.0,,47-0000
47-2061,Construction Laborers,0.0281,47-2061.00,Construction Laborers,Construction and Extraction,True,True,2.0,35800.0,179300.0,88.0,,47-0000
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",0.0,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Construction and Extraction,True,False,2.0,39780.0,6700.0,83.0,,47-0000
47-2072,Pile Driver Operators,0.0,47-2072.00,Pile-Driver Operators,Construction and Extraction,True,False,2.0,58680.0,500.0,82.0,,47-0000
47-2073,Operating Engineers and Other Construction Equipment Operators,0.0,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Construction and Extraction,True,True,2.0,47810.0,52500.0,95.0,,47-0000
47-2081,Drywall and Ceiling Tile Installers,0.0,47-2081.00,Drywall and Ceiling Tile Installers,Construction and Extraction,False,False,2.0,43730.0,12600.0,79.0,,47-0000
47-2082,Tapers,0.0,47-2082.00,Tapers,Construction and Extraction,False,False,2.0,55080.0,2200.0,62.0,,47-0000
47-2111,Electricians,0.0,47-2111.00,Electricians,Construction and Extraction,True,True,3.0,55190.0,94600.0,15.0,,47-0000
47-2121,Glaziers,0.0,47-2121.00,Glaziers,Construction and Extraction,True,False,2.0,43550.0,7000.0,73.0,,47-0000
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",0.0,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Construction and Extraction,False,True,2.0,38480.0,4000.0,83.0,,47-0000
47-2132,"Insulation Workers, Mechanical",0.0439,47-2132.00,"Insulation Workers, Mechanical",Construction and Extraction,True,False,2.0,47740.0,3300.0,64.0,,47-0000
47-2141,"Painters, Construction and Maintenance",0.0,47-2141.00,"Painters, Construction and Maintenance",Construction and Extraction,False,False,2.0,38940.0,41400.0,75.0,,47-0000
47-2142,Paperhangers,0.0,47-2142.00,Paperhangers,Construction and Extraction,False,False,2.0,38090.0,500.0,87.0,,47-0000
47-2151,Pipelayers,0.0,47-2151.00,Pipelayers,Construction and Extraction,True,False,2.0,38560.0,5500.0,62.0,,47-0000
47-2152,"Plumbers, Pipefitters, and Steamfitters",0.0116,47-2152.01,Pipe Fitters and Steamfitters,Construction and Extraction,True,True,3.0,53910.0,66100.0,-1.0,"Plumbers, Pipefitters, and Steamfitters",47-0000
47-2152,"Plumbers, Pipefitters, and Steamfitters",0.0116,47-2152.02,Plumbers,Construction and Extraction,True,True,3.0,53910.0,66100.0,-1.0,"Plumbers, Pipefitters, and Steamfitters",47-0000
47-2152,"Plumbers, Pipefitters, and Steamfitters",0.0116,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction,True,False,-1.0,53910.0,66100.0,35.0,,47-0000
47-2161,Plasterers and Stucco Masons,0.0,47-2161.00,Plasterers and Stucco Masons,Construction and Extraction,False,False,1.0,43540.0,2700.0,84.0,,47-0000
47-2171,Reinforcing Iron and Rebar Workers,0.0,47-2171.00,Reinforcing Iron and Rebar Workers,Construction and Extraction,True,False,2.0,48320.0,2500.0,90.0,,47-0000
47-2181,Roofers,0.0157,47-2181.00,Roofers,Construction and Extraction,True,True,2.0,39970.0,19500.0,90.0,,47-0000
47-2211,Sheet Metal Workers,0.0,47-2211.00,Sheet Metal Workers,Construction and Extraction,True,True,2.0,48460.0,17300.0,82.0,,47-0000
47-2221,Structural Iron and Steel Workers,0.0491,47-2221.00,Structural Iron and Steel Workers,Construction and Extraction,True,True,2.0,53970.0,10900.0,83.0,,47-0000
47-2231,Solar Photovoltaic Installers,0.0,47-2231.00,Solar Photovoltaic Installers,Construction and Extraction,True,True,2.0,42680.0,2200.0,-1.0,,47-0000
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.0,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction and Extraction,True,False,2.0,33380.0,3700.0,-1.0,,47-0000
47-3012,Helpers--Carpenters,0.0,47-3012.00,Helpers--Carpenters,Construction and Extraction,True,True,2.0,30880.0,5300.0,92.0,,47-0000
47-3013,Helpers--Electricians,0.0,47-3013.00,Helpers--Electricians,Construction and Extraction,True,False,2.0,31410.0,11400.0,74.0,,47-0000
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.0,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Construction and Extraction,False,False,1.0,29960.0,1600.0,94.0,,47-0000
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.0,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction,True,False,2.0,30980.0,9200.0,57.0,,47-0000
